bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
KA16,outer,2,real fatigue pitting,N15_M07_F10,29.042699215349877,1.0,26.328975739441425,31.07939163750762,319
KA16,outer,2,real fatigue pitting,N09_M07_F10,11.942224975126855,1.0,10.189887809178542,13.480912200921306,320
KA16,outer,2,real fatigue pitting,N15_M01_F10,49.214934613942035,1.0,45.777486420416565,52.21417551687676,320
KA16,outer,2,real fatigue pitting,N15_M07_F04,17.604101475789484,1.0,15.649159141572571,19.616694903112595,320
KA22,outer,1,real fatigue pitting,all,3.9639048202823144,0.9859154929577465,2.0967269388121688,5.504806416937157,1278
KA22,outer,1,real fatigue pitting,N15_M07_F10,5.196060549786392,1.0,4.214004399031426,6.532992268784883,321
KA22,outer,1,real fatigue pitting,N09_M07_F10,3.2572538375513442,0.978125,1.8296994906626187,4.8349456755509435,320
KA22,outer,1,real fatigue pitting,N15_M01_F10,5.100800927069402,1.0,4.082809820740436,6.2560769152129305,320
KA22,outer,1,real fatigue pitting,N15_M07_F04,1.6293828516409574,0.9652996845425867,0.9349259104963347,2.4721129586671595,317
KA30,outer,1,real indentation,all,14.15125333807276,0.98671875,10.672497008624415,17.00174058460095,1280
KA30,outer,1,real indentation,N15_M07_F10,16.482130093632883,1.0,14.608421593508087,18.827547139096257,319
KA30,outer,1,real indentation,N09_M07_F10,10.334628186987306,0.946875,6.90046742367192,13.650531314447987,320
KA30,outer,1,real indentation,N15_M01_F10,13.444772247978463,1.0,11.428139846493213,15.217313726680215,321
KA30,outer,1,real indentation,N15_M07_F04,15.794939679414146,1.0,8.070879339274112,18.33800080626053,320
KB23,combined,2,real combined,all,25.98662568838374,0.9631949882537196,12.66604513402664,34.28870390978385,1277
KB23,combined,2,real combined,N15_M07_F10,28.468000130717947,1.0,25.668929711733306,31.250446293275964,319
KB23,combined,2,real combined,N09_M07_F10,1.3428183231882724,0.8522012578616353,0.4651904191376231,2.296893681912984,318
KB23,combined,2,real combined,N15_M01_F10,41.05113289042106,1.0,38.296443277429105,44.543827876155845,320
KB23,combined,2,real combined,N15_M07_F04,23.698412662474965,1.0,20.902051786507094,26.180607211178522,320
